RestaurantID,Restaurant Name,Address,Time,Price
217,,"Số 299 Quan Nhân, P. Nhân Chính, Thanh Xuân, Hà Nội",10:00 - 23:59,25.000 - 100.000
218,Thanh Hằng Quán - Phở & Cháo Các Loại,"3H2, Ngõ 130 Xuân Thủy, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",00:00 - 01:00 | 08:00 - 23:59,30.000 - 50.000
219,Gà Rán Thái Lan & Lạp Xưởng Nướng Đá - Yên Hòa,"204 Yên Hòa, Cầu Giấy, Hà Nội",00:00 - 00:50 | 06:30 - 23:59,5.000 - 25.000
220,,,,
221,Trà Sữa Mixue - Big C Thăng Long,"Gian Hàng 2K81 Trung Tâm Thương Mại Big C Thăng Long, Đường Trần Duy Hưng, P. Trung Hoà, Cầu Giấy, Hà Nội",08:30 - 22:00,15.000 - 35.000
222,Gà Rán & Burger McDonald's - Thái Hà,"Tầng Trệt Tòa Nhà Việt Tower, 1 Thái Hà, P. Trung Liệt, Đống Đa, Hà Nội",10:00 - 23:50,50.000 - 200.000
223,Burger King - Giảng Võ,"C4 Giảng Võ, P. Giảng Võ, Ba Đình, Hà Nội",09:00 - 21:50,20.000 - 100.000
224,,,,
225,,,09:30 - 21:40,20.000 - 80.000
226,Gà Sốt Cay Hàn Quốc - Nguyễn Trãi,"63 Ngõ 335 Nguyễn Trãi, P. Thanh Xuân Nam, Thanh Xuân, Hà Nội",09:00 - 23:59,40.000 - 60.000
227,Lâm Cơm Rang & Phở Bò - 20 Ngõ 87 Yên Xá,"Số 20 Ngõ 87 Yên Xá, X. Tân Triều, Thanh Trì, Hà Nội",10:00 - 23:59,0 - 0
228,Bảo Ngọc Food - Mì Trộn Indomie & Đồ Ăn Vặt - Chùa Quỳnh,"310 Chùa Quỳnh, P. Bạch Mai, Hai Bà Trưng, Hà Nội",00:00 - 23:59,0 - 0
229,Pepperonis Pizza - Lê Duẩn,"216 Lê Duẩn, P. Lê Đại Hành, Hai Bà Trưng, Hà Nội",10:30 - 20:15,30.000 - 220.000
230,Bánh Gối & Bánh Tôm - Anh Bối Mỏ Ướt - Phố Vọng,"1 Ngách 3 Ngõ 333 Phố Vọng, P. Trương Định, Hai Bà Trưng, Hà Nội",11:00 - 19:00,0 - 0
231,Miss Homemade - Miss Bistro - Ăn Uống Hàn Quốc Hiện Đại - Ngoc Khánh,"152 Ngọc Khánh, P. Giảng Võ, Ba Đình, Hà Nội",09:30 - 13:30 | 16:30 - 21:30,20.000 - 100.000
